0745, 0830, ,Comp Sci, , Math,
0830, 0915, English, Hebrew, Civics, Math, History
0915, 1000, English, Literature, Hebrew, History, History
1015, 1145, Civics, Comp Sci, Hebrew, Comp Sci, Physics
1205, 1335, Math, Physics, Literature, English, Math
1405, 1445, Education, Education, , Gym, Tanach
1445, 1525, Gym, Tanach, , Physics, Comp Sci
1535, 1615, , Tanach, , Physics, Comp Sci
1615, 1700, , , , , Comp Sci
1345, 1425, , , Tanach
